VegID,CommonName,GenusGroup,Family,GrowthForm,Type,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,EF9,EF10,EF11,EF12,EF13,EF14,EF15,EF16,EF17,EF18,EF19,LDF3,LDF4,LDF5,LDF6,References,Comment
Betula occidentalis,water birch,Betula,Betulaceae,Btr,species,0.003,0,0.15,0.4,0.05,0.03,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Betula papyrifera,paper birch,Betula,Betulaceae,Btr,species,0.003,0,0.15,0.4,0.05,0.03,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Betula populifolia,gray birch,Betula,Betulaceae,Btr,species,0.003,0,0.15,0.4,0.05,0.03,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Bumelia lanuginosa,chittamwood gum bumelia,Bumelia,Sapotaceae,Btr,species,10,0,0.2,0.2,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Byrsonima lucida,Long Key locustberry,Byrsonima,Malpighiaceae,Btr,species,10,0,0.2,0.2,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Callitris,Cypress-pine,Callitris,Cupressaceae,Ntr,genus,0.003,0,0.4,0.05,0.15,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Baccharis halimifolia,,Baccharis,Asteraceae,Shrub,genus,0.003,0,0.2,0.2,0.2,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Broussonetia papyrifera,paper mulberry,Broussonetia,Moraceae,Btr,genus,5,0,0.1,0.1,0.1,0.1,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Cephalanthus occidentalis,Button bush,Cephalanthus,Rubiaceae,Shrub,genus,5,0,0.1,0.1,0.1,0.1,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Calocedrus decurrens,incense cedar,Calocedrus,Cupressaceae,Ntr,species,0.003,0.005,0.4,0.05,0.15,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Carpinus caroliniana,American hornbeam,Carpinus,Betulaceae,Btr,species,0.003,0,0.02,0.02,0.1,0.9,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Carya,hickory,Carya,Juglandaceae,Btr,genus,0.003,0,0.4,0.08,0.3,0.6,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Carya aquatica,water hickory,Carya,Juglandaceae,Btr,species,0.003,0,0.4,0.08,0.3,0.6,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Carya cordiformis,bitternut hickory,Carya,Juglandaceae,Btr,species,0.003,0,0.4,0.08,0.3,0.6,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Carya glabra,pignut hickory,Carya,Juglandaceae,Btr,species,0.003,0,0.4,0.08,0.3,0.6,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Carya illinoensis,,Carya,Juglandaceae,Btr,species,0.003,0,0.4,0.08,0.3,0.6,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Carya illinoinensis,misspelling,Carya,Juglandaceae,Btr,species,0.003,0,0.4,0.08,0.3,0.6,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Carya laciniosa,shellbark hickory,Carya,Juglandaceae,Btr,species,0.003,0,0.4,0.08,0.3,0.6,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Carya ovata,shagbark hickory,Carya,Juglandaceae,Btr,species,0.003,0,0.4,0.08,0.3,0.6,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Carya texana,black hickory,Carya,Juglandaceae,Btr,species,0.003,0,0.4,0.08,0.3,0.6,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Carya tomentosa,,Carya,Juglandaceae,Btr,species,0.003,0,0.4,0.08,0.3,0.6,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Cassia fasciculata,,Cassia,Fabaceae,Btr,species,0.003,0,0.1,0.1,0.15,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Cassia nictitans,,Cassia,Fabaceae,Btr,species,0.003,0,0.1,0.1,0.15,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Castanea dentata,American chestnut,Castanea,Fagaceae,Btr,species,0.003,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Castanea pumila,chinkapin,Castanea,Fagaceae,Btr,species,0.003,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Castanopsis,,Castanopsis,Fagaceae,Unknown,genus,0.003,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Castanopsis chrysophylla,,Castanopsis,Fagaceae,Unknown,species,0.003,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Castanopsis sempervirens,,Castanopsis,Fagaceae,Unknown,species,0.003,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Catalpa,catalpa,Catalpa,Bignoniaceae,Btr,genus,0.003,0,0.07,0.1,0.05,0.06,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Catalpa spp.,catalpa,Catalpa,Bignoniaceae,Btr,genus,0.003,0,0.07,0.1,0.05,0.06,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Catalpa bignonioides,southern catalpa,Catalpa,Bignoniaceae,Btr,species,0.003,0,0.07,0.1,0.05,0.06,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Catalpa speciosa,northern catalpa,Catalpa,Bignoniaceae,Btr,species,0.003,0,0.07,0.1,0.05,0.06,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Celtis,hackberry,Celtis,Ulmaceae,Btr,genus,0.003,0,0.05,0.05,0.05,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Celtis laevigata,sugarberry,Celtis,Ulmaceae,Btr,species,0.003,0,0.05,0.05,0.05,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Celtis lindheimeri,Lindheimer's hackberry,Celtis,Ulmaceae,Btr,species,0.003,0,0.05,0.05,0.05,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Celtis occidentalis,common hackberry,Celtis,Ulmaceae,Btr,species,0.003,0,0.05,0.05,0.05,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Celtis pallida,,Celtis,Cannabaceae,Unknown,species,0.5,0,0.05,0.05,0.05,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Cercis,redbud,Cercis,Fabaceae,Btr,genus,0.003,0,0.05,0.05,0.05,0.05,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Cercis canadensis,eastern redbud,Cercis,Fabaceae,Btr,species,0.003,0,0.05,0.05,0.05,0.05,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Cercocarpus ledifolius,curl-leaf mountain mahogany,Cercocarpus,Rosaceae,Btr,species,0.003,0,0.05,0.05,0.03,0.05,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Chamaecyparis lawsoniana,Port Orford cedar,Chamaecyparis,Cupressaceae,Ntr,species,0.003,0.005,0.3,0.2,0.02,0.06,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Chamaecyparis nootkatensis,,Chamaecyparis,Cupressaceae,Ntr,species,0.003,0.005,0.3,0.2,0.02,0.06,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Chamaecyparis thyoides,Atlantic white cedar,Chamaecyparis,Cupressaceae,Ntr,species,0.003,0.005,0.3,0.2,0.02,0.06,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Citrus spp.,,Citrus,Rutaceae,Btr,genus,0.003,0,0.4,0.3,0.06,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Citrus xsinensis,,Citrus,Rutaceae,Btr,species,0.003,0,0.4,0.3,0.06,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Poncirus trifoliata,,Citrus,Rutaceae,Btr,species,0.003,0,0.4,0.3,0.06,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
